uid,client_name,client_ip,sender_ip,client_timestamp,client_lat,client_long,event_type
59732,pidrive,,,1402843555,40.636958,-89.476917,0
59733,pidrive,0.0.0.0,192.168.1.23,1402843555,40.636958,-89.476917,1
59734,pidrive,0.0.0.0,192.168.1.23,1402843555,40.636958,-89.476917,2
59735,pidrive,0.0.0.0,192.168.1.23,1402843555,40.636958,-89.476917,3
58856,pidrive,192.168.1.65,,1402843556,40.637034,-89.476916,4
59736,pidrive,,,1402843556,40.637034,-89.476916,0
59737,pidrive,0.0.0.0,192.168.1.23,1402843556,40.637034,-89.476916,1
59738,pidrive,0.0.0.0,192.168.1.23,1402843556,40.637034,-89.476916,2
59739,pidrive,0.0.0.0,192.168.1.23,1402843556,40.637034,-89.476916,3
59740,pidrive,,,1402843556,40.637034,-89.476916,0
58857,pidrive,192.168.1.65,,1402843557,40.637110,-89.476916,4
59741,pidrive,0.0.0.0,192.168.1.23,1402843557,40.637110,-89.476916,1
59742,pidrive,0.0.0.0,192.168.1.23,1402843557,40.637110,-89.476916,2
59743,pidrive,0.0.0.0,192.168.1.23,1402843557,40.637110,-89.476916,3
58858,pidrive,192.168.1.65,,1402843558,40.637181,-89.476915,4
59744,pidrive,,,1402843558,40.637181,-89.476915,0
59745,pidrive,0.0.0.0,192.168.1.23,1402843558,40.637181,-89.476915,1
59746,pidrive,0.0.0.0,192.168.1.23,1402843558,40.637181,-89.476915,2
59747,pidrive,0.0.0.0,192.168.1.23,1402843558,40.637181,-89.476915,3
58859,pidrive,192.168.1.65,,1402843559,40.637257,-89.476926,4
59748,pidrive,,,1402843559,40.637257,-89.476926,0
59749,pidrive,0.0.0.0,192.168.1.23,1402843559,40.637257,-89.476926,1
59750,pidrive,0.0.0.0,192.168.1.23,1402843559,40.637257,-89.476926,2
59751,pidrive,0.0.0.0,192.168.1.23,1402843559,40.637257,-89.476926,3
59752,pidrive,,,1402843559,40.637257,-89.476926,0
58860,pidrive,192.168.1.65,,1402843560,40.637334,-89.476926,4
59753,pidrive,0.0.0.0,192.168.1.23,1402843560,40.637334,-89.476926,1
59754,pidrive,0.0.0.0,192.168.1.23,1402843560,40.637334,-89.476926,2
59755,pidrive,0.0.0.0,192.168.1.23,1402843560,40.637334,-89.476926,3
58861,pidrive,192.168.1.65,,1402843561,40.637405,-89.476925,4
59756,pidrive,,,1402843561,40.637405,-89.476925,0
59758,pidrive,0.0.0.0,192.168.1.23,1402843561,40.637405,-89.476925,1
59759,pidrive,0.0.0.0,192.168.1.23,1402843561,40.637405,-89.476925,2
59760,pidrive,0.0.0.0,192.168.1.23,1402843561,40.637405,-89.476925,3
58862,pidrive,192.168.1.65,,1402843562,40.637475,-89.476913,4
59761,pidrive,,,1402843562,40.637475,-89.476913,0
59762,pidrive,0.0.0.0,192.168.1.23,1402843562,40.637475,-89.476913,1
59763,pidrive,0.0.0.0,192.168.1.23,1402843562,40.637475,-89.476913,2
59764,pidrive,0.0.0.0,192.168.1.23,1402843562,40.637475,-89.476913,3
59765,pidrive,,,1402843562,40.637475,-89.476913,0
58863,pidrive,192.168.1.65,,1402843563,40.637544,-89.476900,4
59766,pidrive,0.0.0.0,192.168.1.23,1402843563,40.637544,-89.476900,1
59767,pidrive,0.0.0.0,192.168.1.23,1402843563,40.637544,-89.476900,2
59768,pidrive,0.0.0.0,192.168.1.23,1402843563,40.637544,-89.476900,3
58864,pidrive,192.168.1.65,,1402843564,40.637614,-89.476876,4
59769,pidrive,,,1402843564,40.637614,-89.476876,0
59770,pidrive,0.0.0.0,192.168.1.23,1402843564,40.637614,-89.476876,1
59771,pidrive,0.0.0.0,192.168.1.23,1402843564,40.637614,-89.476876,2
59772,pidrive,0.0.0.0,192.168.1.23,1402843564,40.637614,-89.476876,3
58865,pidrive,192.168.1.65,,1402843565,40.637665,-89.476840,4
59773,pidrive,,,1402843565,40.637665,-89.476840,0
59774,pidrive,0.0.0.0,192.168.1.23,1402843565,40.637665,-89.476840,1
59775,pidrive,0.0.0.0,192.168.1.23,1402843565,40.637665,-89.476840,2
59776,pidrive,0.0.0.0,192.168.1.23,1402843565,40.637665,-89.476840,3
59777,pidrive,,,1402843565,40.637665,-89.476840,0
58866,pidrive,192.168.1.65,,1402843566,40.637722,-89.476781,4
59778,pidrive,0.0.0.0,192.168.1.23,1402843566,40.637722,-89.476781,1
59779,pidrive,0.0.0.0,192.168.1.23,1402843566,40.637722,-89.476781,2
59780,pidrive,0.0.0.0,192.168.1.23,1402843566,40.637722,-89.476781,3
58867,pidrive,192.168.1.65,,1402843567,40.637760,-89.476710,4
59781,pidrive,,,1402843567,40.637760,-89.476710,0
59782,pidrive,0.0.0.0,192.168.1.23,1402843567,40.637760,-89.476710,1
59783,pidrive,0.0.0.0,192.168.1.23,1402843567,40.637760,-89.476710,2
59784,pidrive,0.0.0.0,192.168.1.23,1402843567,40.637760,-89.476710,3
58868,pidrive,192.168.1.65,,1402843568,40.637778,-89.476615,4
59785,pidrive,,,1402843568,40.637778,-89.476615,0
59786,pidrive,0.0.0.0,192.168.1.23,1402843568,40.637778,-89.476615,1
59787,pidrive,0.0.0.0,192.168.1.23,1402843568,40.637778,-89.476615,2
59788,pidrive,0.0.0.0,192.168.1.23,1402843568,40.637778,-89.476615,3
59789,pidrive,,,1402843568,40.637778,-89.476615,0
58869,pidrive,192.168.1.65,,1402843570,40.637796,-89.476437,4
59790,pidrive,0.0.0.0,192.168.1.23,1402843570,40.637796,-89.476437,1
59791,pidrive,0.0.0.0,192.168.1.23,1402843570,40.637796,-89.476437,2
59792,pidrive,0.0.0.0,192.168.1.23,1402843570,40.637796,-89.476437,3
59793,pidrive,,,1402843570,40.637796,-89.476437,0
58870,pidrive,192.168.1.65,,1402843571,40.637796,-89.476343,4
58871,pidrive,192.168.1.65,,1402843571,40.637796,-89.476343,4
